Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,9050.000000,9060.000000,8920.000000,9020.000000,6598.818848,10925000
2005-01-04,9000.000000,9020.000000,8920.000000,8940.000000,6540.291992,14015000
2005-01-05,8800.000000,8860.000000,8730.000000,8860.000000,6481.766602,23365000
2005-01-06,8780.000000,8910.000000,8700.000000,8700.000000,6364.716797,17150000
2005-01-07,8820.000000,8830.000000,8710.000000,8810.000000,6445.188477,13615000
2005-01-10,8840.000000,8840.000000,8750.000000,8760.000000,6408.609375,12505000
2005-01-11,8760.000000,8840.000000,8670.000000,8840.000000,6467.134766,27855000
2005-01-12,8870.000000,8880.000000,8800.000000,8840.000000,6467.134766,14720000
2005-01-13,8840.000000,8940.000000,8820.000000,8880.000000,6496.397949,23695000
2005-01-14,8800.000000,9480.000000,8790.000000,9430.000000,6898.762207,71900000
2005-01-17,9800.000000,9890.000000,9650.000000,9850.000000,7206.026855,61795000
2005-01-18,9800.000000,9810.000000,9690.000000,9720.000000,7110.923340,30240000
2005-01-19,9720.000000,9770.000000,9580.000000,9600.000000,7023.134766,22850000
2005-01-20,9600.000000,9700.000000,9510.000000,9600.000000,7023.134766,19270000
2005-01-21,9500.000000,9720.000000,9500.000000,9720.000000,7110.923340,15030000
2005-01-24,9650.000000,9760.000000,9550.000000,9760.000000,7140.185547,19070000
2005-01-25,9600.000000,9700.000000,9580.000000,9670.000000,7074.343750,18165000
2005-01-26,9700.000000,9870.000000,9690.000000,9810.000000,7176.761719,24885000
2005-01-27,9900.000000,9900.000000,9810.000000,9840.000000,7198.711426,19990000
2005-01-28,9830.000000,9830.000000,9600.000000,9780.000000,7154.816406,14220000
2005-01-31,9760.000000,9900.000000,9680.000000,9900.000000,7242.606445,16465000
2005-02-01,9900.000000,9970.000000,9830.000000,9830.000000,7191.395020,21855000
2005-02-02,9830.000000,9880.000000,9730.000000,9810.000000,7176.761719,19750000
2005-02-03,9720.000000,9940.000000,9720.000000,9920.000000,7257.236816,17445000
2005-02-04,9880.000000,9970.000000,9860.000000,9910.000000,7249.918945,12855000
2005-02-07,10120.000000,10240.000000,10060.000000,10200.000000,7462.081055,33935000
2005-02-08,10200.000000,10200.000000,10200.000000,10200.000000,7462.081055,0
2005-02-09,10200.000000,10200.000000,10200.000000,10200.000000,7462.081055,0
2005-02-10,10200.000000,10200.000000,10200.000000,10200.000000,7462.081055,0
2005-02-11,10100.000000,10180.000000,10020.000000,10120.000000,7403.554688,25885000
2005-02-14,10260.000000,10440.000000,10200.000000,10340.000000,7564.498047,28265000
2005-02-15,10400.000000,10420.000000,10220.000000,10380.000000,7593.763184,26745000
2005-02-16,10440.000000,10620.000000,10360.000000,10400.000000,7608.391113,24010000
2005-02-17,10340.000000,10440.000000,10300.000000,10340.000000,7564.498047,17510000
2005-02-18,10360.000000,10540.000000,10280.000000,10540.000000,7710.814453,18355000
2005-02-21,10600.000000,10640.000000,10480.000000,10560.000000,7725.444824,23430000
2005-02-22,10560.000000,10580.000000,10360.000000,10440.000000,7637.655273,17855000
2005-02-23,10280.000000,10320.000000,10180.000000,10220.000000,7476.708984,19745000
2005-02-24,10200.000000,10400.000000,10140.000000,10380.000000,7593.763184,20985000
2005-02-25,10480.000000,10580.000000,10420.000000,10440.000000,7637.655273,20880000
2005-02-28,10600.000000,10620.000000,10420.000000,10540.000000,7710.814453,27705000
2005-03-01,10540.000000,10540.000000,10540.000000,10540.000000,7710.814453,0
2005-03-02,10500.000000,10560.000000,10340.000000,10340.000000,7564.498047,27425000
2005-03-03,10300.000000,10520.000000,10240.000000,10380.000000,7593.763184,30335000
2005-03-04,10340.000000,10340.000000,10160.000000,10200.000000,7462.081055,24410000
2005-03-07,10300.000000,10300.000000,10000.000000,10140.000000,7418.183105,29515000
2005-03-08,10140.000000,10160.000000,10000.000000,10040.000000,7345.025879,26380000
2005-03-09,9980.000000,10000.000000,9830.000000,10000.000000,7315.763672,24890000
2005-03-10,10060.000000,10160.000000,9990.000000,9990.000000,7308.447266,31630000
2005-03-11,10140.000000,10380.000000,10080.000000,10380.000000,7593.763184,32010000
2005-03-14,10260.000000,10320.000000,10160.000000,10200.000000,7462.081055,20845000
2005-03-15,10240.000000,10280.000000,9980.000000,10040.000000,7345.025879,25030000
2005-03-16,9980.000000,10080.000000,9910.000000,10060.000000,7359.660156,18545000
2005-03-17,9860.000000,9970.000000,9840.000000,9920.000000,7257.236816,20875000
2005-03-18,9860.000000,9960.000000,9860.000000,9900.000000,7242.606445,12750000
2005-03-21,9830.000000,9980.000000,9800.000000,9840.000000,7198.711426,16770000
2005-03-22,9860.000000,10020.000000,9790.000000,9920.000000,7257.236816,15795000
2005-03-23,9860.000000,9990.000000,9830.000000,9970.000000,7293.814941,15920000
2005-03-24,10020.000000,10120.000000,9950.000000,10060.000000,7359.660156,20100000
2005-03-25,10100.000000,10120.000000,10000.000000,10100.000000,7388.920898,10875000
2005-03-28,10200.000000,10220.000000,10140.000000,10200.000000,7462.081055,8980000
2005-03-29,10200.000000,10220.000000,10000.000000,10040.000000,7345.025879,16855000
